,Name,Street Address,Postal Code,Parking Rates
0,Tanglin Post Office,56 Tanglin Road,247964,"MON-FRI Before 5/6 PM
$2.40 for 1st hr, $1.20 for next subsequent 30min from 6.01am to 5pm 

MON-FRI After 5/6 PM
$3.50/entry from 5.01pm to 6am the following day 

SAT
$2.40 for 1st hr, $1.20 for next subsequent 30min from 6.01am to 1pm, $3.50/entry from 1.01pm to 6am the following day 

SUN / PUBLIC HOLIDAYS
$3.50/entry from 6.01am to 6am the following day 

REMARKS
10min grace period 

"
1,Eon Shenton,70 Shenton Way,079118,"MON-FRI Before 5/6 PM
$2.50/30min from 7am to 5pm 

MON-FRI After 5/6 PM
$3.00/entry from 5pm to 7am the following day 

SAT
$2.50/30min from 7am to 1pm, $3.00/entry from 1pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 7am to 7am the following day 

"
2,Stars of Kovan,988 Upper Serangoon Road,534733,"MON-FRI Before 5/6 PM
$1.00/hr from 7am to 10.30pm 

MON-FRI After 5/6 PM
$2.00/hr from 10.30pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
3,Resorts World Sentosa (RWS),8 Sentosa Gateway,098269,"MON-FRI Before 5/6 PM
(Mon-Thurs) $6.00/entry from 12am to 11.59pm 

MON-FRI After 5/6 PM
(Mon-Thurs) $6.00/entry from 12am to 11.59pm 

SAT
(Fri-Sat) $9.00/entry from 12am to 11.59pm 

SUN / PUBLIC HOLIDAYS
$9.00/entry from 12am to 11.59pm 

"
4,Cendex Centre,120 Lower Delta Road,169208,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 6pm   

MON-FRI After 5/6 PM
$2.00/entry from 6.01pm to 11.59pm, $5.00/hr from 12midnight to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
5,Tampines Concourse,11 Tampines Concourse,528729,"MON-FRI Before 5/6 PM
$2.14 for 1st hr, $1.07 for next subsequent 30min from 7.01am to 6pm  

MON-FRI After 5/6 PM
$2.67/entry from 6.01pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
6,National Sailing Centre,1500 East Coast Parkway,468963,"MON-FRI Before 5/6 PM
$1.28 for 1st hr, $0.64 for next subsequent 30min from 7.01am to 5pm  

MON-FRI After 5/6 PM
$1.28 for 1st hr, $0.64 for next subsequent 30min from 5.01pm to 7am the following day 

SAT
$1.28 for 1st hr, $0.64 for next subsequent 30min from 7.01am to 7am the following day 

SUN / PUBLIC HOLIDAYS
$1.28 for 1st hr, $0.64 for next subsequent 30min from 7.01am to 7am the following day 

"
7,Marine Parade Central Market and Food Centre,84 Marine Parade Central,440084,"MON-FRI Before 5/6 PM
$0.80/30min from 8am to 8pm 

MON-FRI After 5/6 PM
$0.60/30min from 8pm to 8am the following day 

SAT
$0.80/30min from 8am to 8pm, $0.60/30min from 8pm to 8am the following day 

SUN / PUBLIC HOLIDAYS
$0.80/30min from 8am to 8pm, $0.60/30min from 8pm to 8am the following day 

REMARKS
Per minute charging, night parking capped at $5.00 from 10.30pm to 7am 

"
8,Aljunied-Hougang Town Council,147 Serangoon North Ave 1,550147,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 10am, $0.80/30min from 10am to 5pm 

MON-FRI After 5/6 PM
$0.60/30min from 5pm to 10.30pm, $0.60/30min from 10.30pm to 7am the following day 

SAT
$0.80/30min from 7am to 2pm, $0.60/30min from 2pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$0.80/30min from 7am to 2pm, $0.60/30min from 2pm to 7am the following day 

REMARKS
Per minute charging, night parking capped at $5.00 from 10.30pm to 7am 

"
9,Outram Community Hospital (SingHealth Tower),10 Hospital Boulevard,168582,"MON-FRI Before 5/6 PM
$0.036/min from 7am to 9.59pm 

MON-FRI After 5/6 PM
$2.14/entry from 10pm to 6.59am the following day 

SAT
$0.036/min from 7am to 9.59pm, $2.14/entry from 10pm to 6.59am the following day 

SUN / PUBLIC HOLIDAYS
$0.018/min from 7am to 9.59pm, $2.14/entry from 10pm to 6.59am the following day 

"
10,Hainanese Village Centre (Lorong Ah Soo Market),105 Hougang Avenue 1,530105,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 11am, $0.80/30mmin from 11am to 2pm 

MON-FRI After 5/6 PM
$0.60/30min from 2pm to 7am the following day 

SAT
$0.80/30min from 7am to 2pm, $0.60/30min from 2pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$0.80/30min from 7am to 2pm, $0.60/30min from 2pm to 7am the following day 

REMARKS
Per minute charging, night parking capped at $5.00 from 10.30pm to 7am 

"
11,Geylang Serai Market,1 Geylang Serai,402001,"MON-FRI Before 5/6 PM
(Mon-Thu) $0.60/30min from 7am to 5pm 

MON-FRI After 5/6 PM
(Mon-Thu) $0.60/30min from 5pm to 7am the following day 

SAT
(Fri-Sat) $0.80/30min from 7am to 10.30pm, $0.60/30min from 10.30pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$0.80/30min from 7am to 10.30pm, $0.60/30min from 10.30pm to 7am the following day 

REMARKS
Per minute charging, night parking capped at $5.00 from 10.30pm to 7am 

"
12,Cheng Yan Court,269 Queen Street,180269,"MON-FRI Before 5/6 PM
$1.20/30min from 7am to 10am, $1.40/30min from 10am to 5pm 

MON-FRI After 5/6 PM
$1.40/30min from 5pm to 10.30pm 

SAT
$1.20/30min from 7am to 10am, $1.40/30min from 10am to 10.30pm 

SUN / PUBLIC HOLIDAYS
$0.60/30min from 7am to 10am, $1.40/30min from 10am to 10.30pm 

REMARKS
Per minute charging, No night parking is allowed 

"
13,Bendemeer Market and Food Centre,29 Bendemeer Road,330029,"MON-FRI Before 5/6 PM
$0.80/30min from 7am to 2pm 

MON-FRI After 5/6 PM
$0.60/30min from 2pm to 7am the following day 

SAT
$0.80/30min from 7am to 2pm, $0.60/30min from 2pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
Free parking from 7am to 10.30pm, $0.60/30min from 10.30pm to 7am the following day 

REMARKS
Per minute charging, night parking capped at $5.00 from 10.30pm to 7am 

"
14,HDB Bedok Town Centre Blk 211,211 New Upper Changi Road,460211,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 10am, $0.80/30min from 10am to 8pm 

MON-FRI After 5/6 PM
$0.60/30min from 8pm to 7am the following day 

SAT
$0.60/30min from 7am to 10am, $0.80/30min from 10am to 8pm, $0.60/30min from 8pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$0.60/30min from 7am to 10am, $0.80/30min from 10am to 8pm, $0.60/30min from 8pm to 7am the following day 

REMARKS
Per minute charging, night parking capped at $5.00 from 10.30pm to 7am 

"
15,HDB Bedok Town Centre Blk 208A,208A New Upper Changi Road,461208,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 10am, $0.80/30min from 10am to 8pm 

MON-FRI After 5/6 PM
$0.60/30min from 8pm to 7am the following day 

SAT
$0.60/30min from 7am to 10am, $0.80/30min from 10am to 8pm, $0.60/30min from 8pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$0.60/30min from 7am to 10am, $0.80/30min from 10am to 8pm, $0.60/30min from 8pm to 7am the following day 

REMARKS
Per minute charging, night parking capped at $5.00 from 10.30pm to 7am 

"
16,HDB Bedok Town Centre Blk 204,204 Bedok North Street 1,460204,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 10am, $0.80/30min from 10am to 8pm 

MON-FRI After 5/6 PM
$0.60/30min from 8pm to 7am the following day 

SAT
$0.60/30min from 7am to 10am, $0.80/30min from 10am to 8pm, $0.60/30min from 8pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$0.60/30min from 7am to 10am, $0.80/30min from 10am to 8pm, $0.60/30min from 8pm to 7am the following day 

REMARKS
Per minute charging, night parking capped at $5.00 from 10.30pm to 7am 

"
17,Albert Centre Market and Food Centre,270 Queen Street,180270,"MON-FRI Before 5/6 PM
$1.20/30min from 7am to 10am, $1.40/30min from 10am to 5pm 

MON-FRI After 5/6 PM
$1.40/30min from 5pm to 10.30pm, $0.60/30min from 10.30pm to 7am the following day 

SAT
$1.20/30min from 7am to 10am, $1.40/30min from 10am to 10.30pm, $0.60/30min from 10.30pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$0.60/30min from 7am to 10am, $1.40/30min from 10am to 10.30pm, $0.60/30min from 10.30pm to 7am the following day 

REMARKS
Per minute charging, night parking capped at $5.00 from 10.30pm to 7am 

"
18,Cross Street Exchange,18 Cross Street,048423,"MON-FRI Before 5/6 PM
$1.80/30min from 8am to 6pm 

MON-FRI After 5/6 PM
$3.00/entry from 6pm to 8am the following day 

SAT
$3.00/entry from 8am to 8am the following day 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 8am to 8am the following day 

"
19,City Gate,371 Beach Road,199597,"MON-FRI Before 5/6 PM
$1.50/hr from 7am to 5pm 

MON-FRI After 5/6 PM
$2.00/entry from 5pm to 11.59pm, $4.00/entry from 12midnight to 6.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$1.50/hr from 7am to 2pm, $2.00/entry from 2pm to 11.59pm, $4.00/entry from 12midnight to 6.59am the following day 

REMARKS
Free parking from 12pm to 2pm daily 

"
20,FloraVista & FloraView,7 Ang Mo Kio Street 66,567708,"MON-FRI Before 5/6 PM
$1.20/hr from 7am to 5pm 

MON-FRI After 5/6 PM
$1.20/hr from 5pm to 7am the following day 

SAT
$1.20/hr from 7am to 7am the following day 

SUN / PUBLIC HOLIDAYS
$1.20/hr from 7am to 7am the following day 

REMARKS
15min grace period 

"
21,Vertex,33 Ubi Ave 3,408868,"MON-FRI Before 5/6 PM
$0.80/30min from 7am to 5pm 

MON-FRI After 5/6 PM
$2.65/entry from 5pm to 7am the following day 

SAT
$0.80/30min from 7am to 5pm, $2.65/entry from 5pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$3.30/entry from 7am to 7am the following day 

REMARKS
10min grace period 

"
22,Techlink,31 Kaki Bukit Road 3,417818,"MON-FRI Before 5/6 PM
$2.14 for 1st hr, $1.60 for next subsequent 30min from 12am to 5.59pm 

MON-FRI After 5/6 PM
$2.14/entry from 5pm to 11.59pm 

SAT
$2.14 for 1st hr, $1.60 for next subsequent 30min from 12am to 5.59pm, $2.14/entry from 5pm to 11.59pm 

SUN / PUBLIC HOLIDAYS
$2.14 for 1st hr, $1.60 for next subsequent 30min from 12am to 5.59pm, $2.14/entry from 5pm to 11.59pm 

REMARKS
10min grace period 

"
23,Mapletree Business City,20 Pasir Panjang Road,117439,"MON-FRI Before 5/6 PM
$2.20/hr from 7am to 6pm 

MON-FRI After 5/6 PM
$1.20/entry from 6pm to 12midnight, $2.40/hr from 12midnight to 7am the following day 

SAT
$1.20/entry from 7am to 12midnight, $2.40/hr from 12midnight to 7am the following day 

SUN / PUBLIC HOLIDAYS
$1.20/entry from 7am to 12midnight, $2.40/hr from 12midnight to 7am the following day 

"
24,HDB Blk 700A (Pasir Ris Drive 10),710A Pasir Ris Drive 10,511700,"MON-FRI Before 5/6 PM
HDB / URA parking rates 

MON-FRI After 5/6 PM
HDB / URA parking rates 

SAT
HDB / URA parking rates 

SUN / PUBLIC HOLIDAYS
HDB / URA parking rates 

"
25,HDB Blk 718A (Pasir Ris Street 72),718A Pasir Ris Street 72,511718,"MON-FRI Before 5/6 PM
HDB / URA parking rates 

MON-FRI After 5/6 PM
HDB / URA parking rates 

SAT
HDB / URA parking rates 

SUN / PUBLIC HOLIDAYS
HDB / URA parking rates 

"
26,HDB Blk 710A (Pasir Ris Street 72),710A Pasir Ris Street 72,511710,"MON-FRI Before 5/6 PM
HDB / URA parking rates 

MON-FRI After 5/6 PM
HDB / URA parking rates 

SAT
HDB / URA parking rates 

SUN / PUBLIC HOLIDAYS
HDB / URA parking rates 

"
27,Lavender Gardens,814 Jellicoe Road,200814,"MON-FRI Before 5/6 PM
HDB / URA parking rates 

MON-FRI After 5/6 PM
HDB / URA parking rates 

SAT
HDB / URA parking rates 

SUN / PUBLIC HOLIDAYS
HDB / URA parking rates 

"
28,ITE Headquarters & ITE College Central,2 Ang Mo Kio Drive,567720,"MON-FRI Before 5/6 PM
$1.20/hr from 7am to 5pm 

MON-FRI After 5/6 PM
$1.20/hr from 5pm to 10.30pm 

SAT
$1.20/hr from 7am to 10.30pm 

SUN / PUBLIC HOLIDAYS
Free parking from 7am to 10.30pm 

REMARKS
20min grace period, Night parking ($1.20/hr from 10.30pm to 7am, capped at $5.00) for authorized vehicles only 

"
29,NUS Car Park 2,Engineering Drive 1,,"MON-FRI Before 5/6 PM
$0.0214/min from 8.30am to 7.30pm 

MON-FRI After 5/6 PM
Free parking from 7.31pm to 8.29am the following day 

SAT
$0.0214/min from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day 

SUN / PUBLIC HOLIDAYS
Free parking whole day from 8.30am to 8.29am the following day 

REMARKS
Students and Visitors parking is at white parking lots only. 10min grace period for all vehicles 

"
30,NUS Car Park Car Park 1 - In front of SDE,4 Architecture Drive,,"MON-FRI Before 5/6 PM
$0.0214/min from 8.30am to 7.30pm 

MON-FRI After 5/6 PM
Free parking from 7.31pm to 8.29am the following day 

SAT
$0.0214/min from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day 

SUN / PUBLIC HOLIDAYS
Free parking whole day from 8.30am to 8.29am the following day 

REMARKS
Students and Visitors parking is at white parking lots only. 10min grace period for all vehicles 

"
31,NUS Car Park 12B - ICube,21 Heng Mui Keng Terrace,,"MON-FRI Before 5/6 PM
$0.0214/min from 8.30am to 7.30pm 

MON-FRI After 5/6 PM
Free parking from 7.31pm to 8.29am the following day 

SAT
$0.0214/min up to a maximum charge of $2.568 from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day 

SUN / PUBLIC HOLIDAYS
Free parking whole day from 8.30am to 8.29am the following day 

REMARKS
Students and Visitors parking is at white parking lots only. 10min grace period for all vehicles 

"
32,Frasers Tower,182 Cecil Street,069547,"MON-FRI Before 5/6 PM
$3.00/30min from 7am to 5.59pm 

MON-FRI After 5/6 PM
$4.00/entry from 6pm to 6.59am the following day 

SAT
$4.00/entry from 7am to 6.59am the following day 

SUN / PUBLIC HOLIDAYS
$4.00/entry from 7am to 6.59am the following day 

"
33,8 Central Link,8 Jalan Kilang Barat,159351,"MON-FRI Before 5/6 PM
$1.50/hr from 8am to 5pm 

MON-FRI After 5/6 PM
$1.50/hr from 5pm to 8am the following day 

SAT
$1.50/hr from 8am to 8am the following day 

SUN / PUBLIC HOLIDAYS
$1.50/hr from 8am to 8am the following day 

REMARKS
10min grace period 

"
34,Nanyang Polytechnic,180 Ang Mo Kio Ave 8,569830,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 5pm 

MON-FRI After 5/6 PM
$0.60/30min from 5pm to 10.30pm 

SAT
$0.60/30min from 7am to 10.30pm 

SUN / PUBLIC HOLIDAYS
Free parking from 7am to 10.30pm 

REMARKS
15min grace period, no overnight parking 

"
35,HexaCube,160 Changi Road,419728,"MON-FRI Before 5/6 PM
$1.20 for 1st 30min, $0.60 for next subsequent 15min from 7am to 5.59pm  

MON-FRI After 5/6 PM
$3.00/entry from 6pm to 6.59am the following day 

SAT
$1.20 for 1st 30min, $0.60 for next subsequent 15min from 7am to 12.59pm, $3.00/entry from 1pm to 6.59am the following day 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 7am to 6.59am the following day 

"
36,AXA Tower,8 Shenton Way,068811,"MON-FRI Before 5/6 PM
$2.30/30min from 7am to 6pm 

MON-FRI After 5/6 PM
$2.80/entry from 6pm to 7am the following day 

SAT
$2.30/30min from 7am to 1pm, $2.80/entry from 1pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$2.80/entry from 7am to 7am the following day 

"
